objectid,originalid,projectcode,stationcode,stationdesc,sampledate,evaluator,determination,determinationcomments,channeltype,structurewidth,structureshape,structureshapecomments,rightsideofstructure,rightvegetation,rightsidecomments,leftsideofstructure,leftvegetation,leftsidecomments,bottom,bottomcomments,vegetation,lowflowpresence,lowflowwidth,gradecontrolpresence,gradecontrollocation,gradecontrolcomments,channelmodcomments,lastchangedate,latitude,longitude,record_timestamp,app_timestamp,sitetype,novelsite,record_origin,origin_lastupdatedate,record_publish,globalid,created_user,created_date,last_edited_user,last_edited_date,login_agency,login_email,login_owner,login_year,login_project,ceden_publish,masterid,huc,county,smcshed,comid,channel_engineering_class
653,NA,SMC_RCFC_2012,SMC35837,San Jacinto River,6/25/2012,A. Suter,Site visit,Review of historic data,Natural,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,No,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1AF57304-9821-4C41-8BF7-B6672E5486A8},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC35837,802,Riverside,San Jacinto,22535256,NAT
1923,NA,SMC_SCDWP_2013,SMC37632,NA,7/31/2013,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{702F23DB-0138-46FC-A9EF-3E8468CF36C3},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC37632,909,San Diego,Southern San Diego,20334494,NAT
654,NA,SMC_RCFC_2013,SMC40887,Temescal Wash near Temescal Canyon Road,6/12/2013,A. Suter,Site visit,Review of historic data,Natural,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,No,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{2E058265-30FF-452E-A5D7-E248CDD8CD51},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC40887,801,Riverside,Middle Santa Ana,22561196,NAT
1924,NA,SMC_RWQCB8_1950,SMCR8_007,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{B591C29E-CD8D-42C3-AF30-A9F123E70438},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801MIC007,801,San Bernardino,Upper Santa Ana,22558926,NAT
655,NA,SMC_RWQCB8_1950,SMCR8_011,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,100+ m,Trapezoidal,NA,Grouted rock,No,NA,Grouted rock,No,NA,Soft/Natural,NA,NR,Absent,NA,Present,Within 10 m upstream and Within 10 m downstream,abutments d/s and concrete 'breakwater' u/s,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{AACA643B-2221-400E-997A-D86FA9338208},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SAR011,801,Orange,Lower Santa Ana,0,SB2
1925,NA,SMC_RWQCB8_1950,SMCR8_012,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{FF50586E-76E8-4CCA-A49B-4346AEF2B2C0},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801CBN012,801,Orange,Lower Santa Ana,22525701,NAT
656,NA,SMC_RWQCB8_1950,SMCR8_019,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,100+ m,Natural,River has some natural siniousity within an engineered confine.,Earthen,Yes,NA,Earthen,Yes,NA,Soft/Natural,NA,"Yes, time uncertain",Present,5+ m,Present,Within reach,4 lane suspended road over river abutrements sunk into reach.,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{B3B15388-818B-43F8-8CF8-6CE11767E657},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801PFB019,801,Riverside,Middle Santa Ana,22563072,NAT
1926,NA,SMC_RWQCB8_1950,SMCR8_020,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{0CC2130B-5A77-4810-A965-2117209E1C58},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802SWC020,802,Riverside,San Jacinto,22535242,NAT
657,NA,SMC_RWQCB8_1950,SMCR8_022,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within 10 m upstream,two lane road over creek,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{CA25B4B7-7A9C-4105-873D-653E81EA4D65},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801FGC022,801,San Bernardino,Upper Santa Ana,22558838,NAT
1927,NA,SMC_RWQCB8_1950,SMCR8_025,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within 10 m upstream,Dirt road over creek,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{C398B285-C7CE-40C3-8493-6CA3BB520EF3},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801DRC025,801,San Bernardino,Upper Santa Ana,22558770,NAT
658,NA,SMC_RWQCB8_1950,SMCR8_027,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{985F1F3F-4CE4-490C-8169-0E4B9C76580B},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801CJW027,801,San Bernardino,Upper Santa Ana,24843794,NAT
1928,NA,SMC_RWQCB8_1950,SMCR8_028,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within reach,Dirt road over creek,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{DEFE789F-51BA-40C1-AF57-0A387CEAAC2D},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801LYC028,801,San Bernardino,Middle Santa Ana,22558184,NAT
659,NA,SMC_RWQCB8_1950,SMCR8_032,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{871FA23B-E3AF-4912-A8F5-67F2F5C8D0C9},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801MIC032,801,San Bernardino,Upper Santa Ana,948070258,NAT
660,NA,SMC_RWQCB8_1950,SMCR8_035,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{7F2D6BED-C5B7-4943-BB5E-3404BD628D2D},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801MIC035,801,San Bernardino,Upper Santa Ana,22558964,NAT
1930,NA,SMC_RWQCB8_1950,SMCR8_041,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{0F813589-E61B-46E8-ADCC-7BB1CB56AB93},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801CJW041,801,San Bernardino,Upper Santa Ana,0,NAT
661,NA,SMC_RWQCB8_1950,SMCR8_042,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within 10 m upstream and Within 10 m downstream,Concrete trap channel u/s 2 lane road across creek d/s,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{CB3AE26B-DCE7-4F15-B455-8AB23A1441DC},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801MIC042,801,San Bernardino,Middle Santa Ana,22563070,NAT
1931,NA,SMC_RWQCB8_1950,SMCR8_046,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3082C9F8-3277-4653-96D4-1C4BD40DC9C0},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801XXX046,801,Orange,Lower Santa Ana,22563198,NAT
662,NA,SMC_RWQCB8_1950,SMCR8_048,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Present,1 to 5 m,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{E86A2F3C-F2F6-47B6-93D9-11F44F121B69},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801PCW048,801,Orange,Lower Santa Ana,20357190,HB
1932,NA,SMC_RWQCB8_1950,SMCR8_050,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{AA7D5AA6-6479-4FA8-9E48-64D601B05710},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801HBC050,801,San Bernardino,Upper Santa Ana,22558836,NAT
663,NA,SMC_RWQCB8_1950,SMCR8_051,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, time uncertain",NA,NA,Absent,NA,Anthropogenic distrubances around area including dirt roads across stream but not within 10m of site.,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{5A116BCF-C3C8-46DF-B409-9715A25B728A},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801STW051,801,Riverside,Upper Santa Ana,22560368,NAT
1933,NA,SMC_RWQCB8_1950,SMCR8_055,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,50 to 100 m,Trapezoidal,River has some natural siniousity within an engineered confine.,Earthen,Yes,NA,Earthen,No,NA,Soft/Natural,NA,"Yes, within past month",Not determined,NA,Present,Within 10 m upstream and Within 10 m downstream,Concrete berms dividing reach into sections concrete berm under 2 lane road over creek,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{105D1F02-8D40-460D-ACAB-FD4B2DE3CC1C},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801STW055,801,San Bernardino,Upper Santa Ana,22557960,SB0
664,NA,SMC_RWQCB8_1950,SMCR8_057,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{A2E821E1-C48B-4B42-BBD5-253BBE072197},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801MLC057,801,San Bernardino,Middle Santa Ana,22557766,NAT
700,NA,SMC_RWQCB8_1950,SMCR8_635,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{5D1A8D2F-25B0-4487-AA9D-A4DFA1422463},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802INC635,802,Riverside,San Jacinto,22535158,NAT
1831,NA,SMC_LACFCD_2011,SMC04750,NA,7/5/2011,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1FFE3DD5-16E3-47D7-86E4-C50EDDCE3F54},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC04750,404,Los Angeles,Santa Monica Bay,20365153,NAT
670,NA,SMC_RWQCB8_1950,SMCR8_110,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,100+ m,Natural,River has some natural siniousity within an engineered confine.,Earthen,Yes,NA,Grouted rock,Yes,Earthen bounded by rip-rap/ grouted rock,Soft/Natural,NA,No,Present,5+ m,Present,Within 10 m downstream,4 lane suspended road over river abutrements sunk into reach.,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{EE46CC23-71BE-4858-959A-AE9592890D71},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SAR110,801,Riverside,Middle Santa Ana,22563032,SB1
1940,NA,SMC_RWQCB8_1950,SMCR8_112,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{F56843BD-EF34-4DBA-BC63-DAA1B0A6259A},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801XXX112,801,San Bernardino,Upper Santa Ana,22557744,NAT
671,NA,SMC_RWQCB8_1950,SMCR8_114,same site as 398,1/1/1950,A. Suter,NA,Review of historic data,Engineered,10 to 50 m,Trapezoidal,NA,Earthen,Yes,NA,Grouted rock,Yes,NA,Soft/Natural,NA,NR,Not determined,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{26AF2BA5-FD08-4B2B-AF34-1ABA3166FB24},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801CYC114,801,San Bernardino,Upper Santa Ana,22555788,SB1
1941,NA,SMC_RWQCB8_1950,SMCR8_116,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,50 to 100 m,Trapezoidal,NA,Earthen,Yes,NA,Grouted rock,Yes,NA,Soft/Natural,NA,No,Not determined,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{4BF7BBAA-A981-4E3E-98B8-89CB0FED616C},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802SJR116,802,Riverside,San Jacinto,22532986,SB1
672,NA,SMC_RWQCB8_1950,SMCR8_118,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{81C4A5B4-7FD5-4C86-A908-A1BE841ED559},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801XXX118,801,San Bernardino,Upper Santa Ana,22557742,NAT
1942,NA,SMC_RWQCB8_1950,SMCR8_121,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,100+ m,Natural,River has some natural siniousity within an engineered confine.,Earthen,Yes,NA,Earthen,Yes,NA,Soft/Natural,NA,No,Present,5+ m,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{C17E7875-CD78-4405-9404-942F64C64EB7},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801CYC121,801,San Bernardino,Upper Santa Ana,22555904,SB0
673,NA,SMC_RWQCB8_1950,SMCR8_124,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1761D73B-11BC-42FB-9966-DAF9A8FE5C53},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SAR124,801,San Bernardino,Upper Santa Ana,22558296,NAT
1943,NA,SMC_RWQCB8_1950,SMCR8_126,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within reach,2 lane road over creek,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{58C1E2AE-DC0B-4316-9B34-32B72E52CD53},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801EBC126,801,San Bernardino,Upper Santa Ana,22558764,NAT
674,NA,SMC_RWQCB8_1950,SMCR8_142,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{F29588B2-5F40-4E63-A57C-73A6B4C53E9E},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801STC142,801,Orange,Lower Santa Ana,22561128,NAT
1944,NA,SMC_RWQCB8_1950,SMCR8_147,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{DB91B4FE-9A53-4F3A-B0D6-A4503CE499B2},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802NJR147,802,Riverside,San Jacinto,22535148,NAT
675,NA,SMC_RWQCB8_1950,SMCR8_149,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{5C1FB9DE-9EEE-45A9-9543-BC73169D997D},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801STC149,801,Orange,Lower Santa Ana,22561184,NAT
1945,NA,SMC_RWQCB8_1950,SMCR8_151,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,100+ m,Natural,River has some natural siniousity within an engineered confine.,Grouted rock,Yes,Steep rip-rap sides confining river,Grouted rock,Yes,Steep rip-rap sides confining river,Soft/Natural,NA,"Yes, time uncertain",Present,5+ m,Absent,NA,Road/ bridge upstream of reach >10m,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1B50AC7D-7D6B-471E-A2D6-F53D96D7D7FE},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SAR151,801,Riverside,Middle Santa Ana,948070241,SB2
676,NA,SMC_RWQCB8_1950,SMCR8_153,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3CBA9006-D112-4EFE-84CD-32EE275313E4},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801TMC153,801,Riverside,Middle Santa Ana,22560886,NAT
1946,NA,SMC_RWQCB8_1950,SMCR8_159,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1DC8705D-5BE1-45FF-8201-DFAC4861F689},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SJR159,802,Riverside,San Jacinto,22535256,NAT
677,NA,SMC_RWQCB8_1950,SMCR8_162,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{D28E7914-FF3A-4FC3-9D32-AB83EC0AFE69},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801TMW162,801,Riverside,Middle Santa Ana,948070538,NAT
1947,NA,SMC_RWQCB8_1950,SMCR8_163,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3D2B9421-EB04-4312-B58C-73760837E6CD},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802NJR163,802,Riverside,San Jacinto,0,NAT
678,NA,SMC_RWQCB8_1950,SMCR8_165,NA,1/1/1950,A. Suter,NA,Review of historic data,Engineered,100+ m,Natural,River has some natural siniousity within an engineered confine.,Earthen,Yes,NA,Earthen,Yes,NA,Soft/Natural,NA,No,Present,5+ m,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{E0FC80C8-CC53-4F8F-833A-EA0BEB9009F4},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SAR165,801,Riverside,Middle Santa Ana,22560476,SB0
1948,NA,SMC_RWQCB8_1950,SMCR8_168,NA,1/1/1950,A. Suter,NA,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{8F04F936-FD82-47C9-8D94-517D35492B8D},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SAR168,801,San Bernardino,Upper Santa Ana,0,NAT
47,NA,NA,403M05774,NA,6/22/2016,DO/NC,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{DB44F3B9-DB70-47EE-9974-F77F95B10A32},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403M05774,403,Los Angeles,Santa Clara,17574585,NAT
1374,361,SMC_SGRRMP_2022,405CE0280,NA,7/27/2022,S. Johnson,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/2/2022 6:34,TRUE,{9F49C9D8-A6FA-45DE-B504-78ADF2F46B1C},checker,11/2/2022 6:34,checker,11/2/2022 6:34,ABCL,alexis@aquaticbioassay.com,SGRRMP,2022,SMC,NA,405CE0280,405,Los Angeles,San Gabriel,22524653,NAT
108,359,SMC_SGRRMP_2022,405M10600,NA,7/28/2022,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,5+ m,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/2/2022 6:34,TRUE,{28A061B2-C86C-495E-B2EC-383A3F9A79EE},checker,11/2/2022 6:34,checker,11/2/2022 6:34,ABCL,alexis@aquaticbioassay.com,SGRRMP,2022,SMC,NA,405M10600,405,Los Angeles,San Gabriel,22525157,HB
109,366,SMC_SGRRMP_2022,405M10605,NA,7/14/2022,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/2/2022 6:34,TRUE,{1AB2EA15-F452-4CE9-B6D9-5AEE9241C045},checker,11/2/2022 6:34,checker,11/2/2022 6:34,ABCL,alexis@aquaticbioassay.com,SGRRMP,2022,SMC,NA,405M10605,405,Los Angeles,San Gabriel,22523237,HB
1379,357,SMC_SGRRMP_2022,405M10606,NA,7/28/2022,K. Wisenbaker,Site visit,NA,Engineered,5 to 10 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,1 to 5 m,Present,Within reach,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/2/2022 6:34,TRUE,{871D7EE5-A8B8-4B28-8B86-95C5B3DA0952},checker,11/2/2022 6:34,checker,11/2/2022 6:34,ABCL,alexis@aquaticbioassay.com,SGRRMP,2022,SMC,NA,405M10606,405,Los Angeles,San Gabriel,22524955,HB
110,363,SMC_SGRRMP_2022,405M10607,NA,7/25/2022,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/2/2022 6:34,TRUE,{D41C769A-FAAA-4D73-988F-67C3ABC89D8B},checker,11/2/2022 6:34,checker,11/2/2022 6:34,ABCL,alexis@aquaticbioassay.com,SGRRMP,2022,SMC,NA,405M10607,405,Los Angeles,San Gabriel,22524611,NAT
124,NA,NotRecorded,408CGCS12,NA,1/1/1950,K.Hahs,Other,Review of historic data,Natural,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NR,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{9F5A1988-2FF9-481E-8179-86A553225837},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408CGCS12,408,Ventura,Calleguas,17562598,NAT
1439,348,SMC_LARWMP_2022,412M08688,NA,7/19/2022,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,5+ m,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/29/2022 6:46,TRUE,{791DA124-0D8C-418A-942B-6E8848F16751},checker,10/29/2022 6:46,checker,10/29/2022 6:46,ABCL,alexis@aquaticbioassay.com,LARWMP,2022,SMC,NA,412M08688,412,Los Angeles,Los Angeles,22514892,HB
170,349,SMC_LARWMP_2022,412M08693,NA,7/19/2022,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Other,"LB rectangular, RB trapezoidal",Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,1 to 5 m,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/29/2022 6:46,TRUE,{EAEA0310-E5AC-4F11-A9D7-41DB7CB75499},checker,10/29/2022 6:46,checker,10/29/2022 6:46,ABCL,alexis@aquaticbioassay.com,LARWMP,2022,SMC,NA,412M08693,412,Los Angeles,Los Angeles,22515806,HB
1443,347,SMC_LARWMP_2022,412PS0052,NA,7/19/2022,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/29/2022 6:46,TRUE,{DE095283-9ABF-46FA-AA8F-2CFD393032A5},checker,10/29/2022 6:46,checker,10/29/2022 6:46,ABCL,alexis@aquaticbioassay.com,LARWMP,2022,SMC,NA,412PS0052,412,Los Angeles,Los Angeles,22514854,HB
